2026-03-08 03:06:00,872 | leadparser.main      | INFO     |   Pass 2 result: 0/100 leads pass filters
2026-03-08 03:06:00,873 | leadparser.main      | INFO     |   Retry pass 3/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:06:00,873 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 13 search terms across 4 workers for 'food' in Edmonton, Alberta
2026-03-08 03:06:00,944 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Calgary; running total: 0
2026-03-08 03:06:00,944 | leadparser.main      | INFO     |   Pass 2 result: 0/100 leads pass filters
2026-03-08 03:06:00,945 | leadparser.main      | INFO     |   Retry pass 3/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:06:00,945 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 13 search terms across 4 workers for 'food' in Calgary, Alberta
2026-03-08 03:06:04,272 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'food' in Vancouver, British Columbia
2026-03-08 03:06:04,306 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'food' in Edmonton, Alberta
2026-03-08 03:06:04,330 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'food' in Calgary, Alberta
2026-03-08 03:06:04,412 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Vancouver; running total: 0
2026-03-08 03:06:04,413 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 9 search terms across 4 workers for 'automotive' in Vancouver, British Columbia
2026-03-08 03:06:04,442 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Edmonton; running total: 0
2026-03-08 03:06:04,442 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 9 search terms across 4 workers for 'automotive' in Edmonton, Alberta
2026-03-08 03:06:04,462 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Calgary; running total: 0
2026-03-08 03:06:04,463 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 9 search terms across 4 workers for 'automotive' in Calgary, Alberta
2026-03-08 03:06:07,736 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'automotive' in Calgary, Alberta
2026-03-08 03:06:07,772 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'automotive' in Edmonton, Alberta
2026-03-08 03:06:07,832 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'automotive' in Vancouver, British Columbia
2026-03-08 03:06:07,887 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Calgary; running total: 0
2026-03-08 03:06:07,887 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 28 search terms across 4 workers for 'barber shops' in Calgary, Alberta
2026-03-08 03:06:07,916 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Edmonton; running total: 0
2026-03-08 03:06:07,916 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 28 search terms across 4 workers for 'barber shops' in Edmonton, Alberta
2026-03-08 03:06:07,970 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Vancouver; running total: 0
2026-03-08 03:06:07,971 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: distributing 28 search terms across 4 workers for 'barber shops' in Vancouver, British Columbia
2026-03-08 03:06:11,226 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'barber shops' in Calgary, Alberta
2026-03-08 03:06:11,243 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'barber shops' in Edmonton, Alberta
2026-03-08 03:06:11,358 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Calgary; running total: 0
2026-03-08 03:06:11,358 | leadparser.main      | INFO     |   Pass 3 result: 0/100 leads pass filters
2026-03-08 03:06:11,358 | leadparser.main      | WARNING  | Exhausted 3 passes — 0/100 filtered leads available.
2026-03-08 03:06:11,364 | ConcurrentXHRScraper | INFO     | ConcurrentXHR: collected 0 unique leads for 'barber shops' in Vancouver, British Columbia
2026-03-08 03:06:11,381 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Edmonton; running total: 0
2026-03-08 03:06:11,381 | leadparser.main      | INFO     |   Pass 3 result: 0/100 leads pass filters
2026-03-08 03:06:11,381 | leadparser.main      | WARNING  | Exhausted 3 passes — 0/100 filtered leads available.
2026-03-08 03:06:11,484 | leadparser.main      | INFO     | Filters applied: 0 raw -> 0 passed
2026-03-08 03:06:11,485 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Vancouver; running total: 0
2026-03-08 03:06:11,485 | leadparser.main      | INFO     |   Pass 3 result: 0/100 leads pass filters
2026-03-08 03:06:11,485 | leadparser.main      | WARNING  | Exhausted 3 passes — 0/100 filtered leads available.
2026-03-08 03:06:11,511 | leadparser.main      | INFO     | Filters applied: 0 raw -> 0 passed
2026-03-08 03:06:11,611 | leadparser.main      | INFO     | Filters applied: 0 raw -> 0 passed
2026-03-08 03:06:11,740 | leadparser.main      | INFO     | Supabase insert: 0 new, 0 dupes, 0 errors
