2026-03-08 03:15:24,397 | XHRGoogleMapsScraper | INFO     |   'grooming salon': +0 (total: 0/330)
2026-03-08 03:15:25,728 | XHRGoogleMapsScraper | INFO     |   'men's grooming lounge': +0 (total: 0/330)
2026-03-08 03:15:27,098 | XHRGoogleMapsScraper | INFO     |   'hair salon for men': +0 (total: 0/330)
2026-03-08 03:15:28,407 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:15:28,408 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Edmonton; running total: 0
2026-03-08 03:15:28,408 | leadparser.main      | INFO     |   Pass 2 result: 0/100 leads pass filters
2026-03-08 03:15:28,408 | leadparser.main      | INFO     |   Retry pass 3/3: raising raw ceiling to 660 to collect more matches
2026-03-08 03:15:28,409 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:15:28,755 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'food'
2026-03-08 03:15:29,001 | XHRGoogleMapsScraper | INFO     |   'food': +0 (total: 0/330)
2026-03-08 03:15:30,037 | XHRGoogleMapsScraper | INFO     |   'restaurants': +0 (total: 0/330)
2026-03-08 03:15:31,203 | XHRGoogleMapsScraper | INFO     |   'diners': +0 (total: 0/330)
2026-03-08 03:15:32,186 | XHRGoogleMapsScraper | INFO     |   'eateries': +0 (total: 0/330)
2026-03-08 03:15:33,141 | XHRGoogleMapsScraper | INFO     |   'food shops': +0 (total: 0/330)
2026-03-08 03:15:34,233 | XHRGoogleMapsScraper | INFO     |   'cafes': +0 (total: 0/330)
2026-03-08 03:15:35,283 | XHRGoogleMapsScraper | INFO     |   'bistros': +0 (total: 0/330)
2026-03-08 03:15:36,274 | XHRGoogleMapsScraper | INFO     |   'takeout food': +0 (total: 0/330)
2026-03-08 03:15:37,825 | XHRGoogleMapsScraper | INFO     |   'local food spots': +0 (total: 0/330)
2026-03-08 03:15:39,288 | XHRGoogleMapsScraper | INFO     |   'places to eat': +0 (total: 0/330)
2026-03-08 03:15:40,745 | XHRGoogleMapsScraper | INFO     |   'local eats': +0 (total: 0/330)
2026-03-08 03:15:41,972 | XHRGoogleMapsScraper | INFO     |   'food near me': +0 (total: 0/330)
2026-03-08 03:15:42,753 | XHRGoogleMapsScraper | INFO     |   'dining near me': +0 (total: 0/330)
2026-03-08 03:15:43,454 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:15:43,455 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'food' in Edmonton; running total: 0
2026-03-08 03:15:43,456 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:15:43,803 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'automotive'
2026-03-08 03:15:44,042 | XHRGoogleMapsScraper | INFO     |   'automotive': +0 (total: 0/330)
2026-03-08 03:15:45,528 | XHRGoogleMapsScraper | INFO     |   'auto repair shops': +0 (total: 0/330)
2026-03-08 03:15:46,568 | XHRGoogleMapsScraper | INFO     |   'auto detailing': +0 (total: 0/330)
2026-03-08 03:15:47,475 | XHRGoogleMapsScraper | INFO     |   'auto body shops': +0 (total: 0/330)
2026-03-08 03:15:48,942 | XHRGoogleMapsScraper | INFO     |   'tire shops': +0 (total: 0/330)
2026-03-08 03:15:50,307 | XHRGoogleMapsScraper | INFO     |   'car wash': +0 (total: 0/330)
2026-03-08 03:15:51,224 | XHRGoogleMapsScraper | INFO     |   'towing services': +0 (total: 0/330)
2026-03-08 03:15:51,972 | XHRGoogleMapsScraper | INFO     |   'auto glass repair': +0 (total: 0/330)
2026-03-08 03:15:53,194 | XHRGoogleMapsScraper | INFO     |   'car dealerships': +0 (total: 0/330)
2026-03-08 03:15:54,258 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:15:54,259 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'automotive' in Edmonton; running total: 0
2026-03-08 03:15:54,260 | XHRGoogleMapsScraper | INFO     | XHR using direct connection (no proxy)
2026-03-08 03:15:54,611 | XHRGoogleMapsScraper | INFO     | XHR Phase A: collecting URLs for 'barber shops'
2026-03-08 03:15:54,848 | XHRGoogleMapsScraper | INFO     |   'barber shops': +0 (total: 0/330)
2026-03-08 03:15:55,848 | XHRGoogleMapsScraper | INFO     |   'local barber': +0 (total: 0/330)
2026-03-08 03:15:56,626 | XHRGoogleMapsScraper | INFO     |   'fade haircut': +0 (total: 0/330)
2026-03-08 03:15:57,687 | XHRGoogleMapsScraper | INFO     |   'beard trim': +0 (total: 0/330)
2026-03-08 03:15:58,865 | XHRGoogleMapsScraper | INFO     |   'traditional hot towel shave': +0 (total: 0/330)
2026-03-08 03:16:00,381 | XHRGoogleMapsScraper | INFO     |   'men's grooming': +0 (total: 0/330)
2026-03-08 03:16:02,020 | XHRGoogleMapsScraper | INFO     |   'barbers': +0 (total: 0/330)
2026-03-08 03:16:03,351 | XHRGoogleMapsScraper | INFO     |   'men's hair salons': +0 (total: 0/330)
2026-03-08 03:16:05,037 | XHRGoogleMapsScraper | INFO     |   'barbershops': +0 (total: 0/330)
2026-03-08 03:16:06,451 | XHRGoogleMapsScraper | INFO     |   'hair cut shops': +0 (total: 0/330)
2026-03-08 03:16:07,410 | XHRGoogleMapsScraper | INFO     |   'barber': +0 (total: 0/330)
2026-03-08 03:16:09,147 | XHRGoogleMapsScraper | INFO     |   'barbershop': +0 (total: 0/330)
2026-03-08 03:16:10,403 | XHRGoogleMapsScraper | INFO     |   'hair barber': +0 (total: 0/330)
2026-03-08 03:16:11,797 | XHRGoogleMapsScraper | INFO     |   'men's haircut': +0 (total: 0/330)
2026-03-08 03:16:13,159 | XHRGoogleMapsScraper | INFO     |   'hair cutting salon': +0 (total: 0/330)
2026-03-08 03:16:14,246 | XHRGoogleMapsScraper | INFO     |   'haircut near me': +0 (total: 0/330)
2026-03-08 03:16:15,533 | XHRGoogleMapsScraper | INFO     |   'haircuts for men': +0 (total: 0/330)
2026-03-08 03:16:16,450 | XHRGoogleMapsScraper | INFO     |   'men's haircutting': +0 (total: 0/330)
2026-03-08 03:16:17,665 | XHRGoogleMapsScraper | INFO     |   'low fade haircut': +0 (total: 0/330)
2026-03-08 03:16:19,012 | XHRGoogleMapsScraper | INFO     |   'taper fade': +0 (total: 0/330)
2026-03-08 03:16:19,785 | XHRGoogleMapsScraper | INFO     |   'shape up haircut': +0 (total: 0/330)
2026-03-08 03:16:20,753 | XHRGoogleMapsScraper | INFO     |   'classic barber': +0 (total: 0/330)
2026-03-08 03:16:21,620 | XHRGoogleMapsScraper | INFO     |   'old school barber': +0 (total: 0/330)
2026-03-08 03:16:22,512 | XHRGoogleMapsScraper | INFO     |   'master barber': +0 (total: 0/330)
2026-03-08 03:16:23,930 | XHRGoogleMapsScraper | INFO     |   'hair clipper shop': +0 (total: 0/330)
2026-03-08 03:16:25,302 | XHRGoogleMapsScraper | INFO     |   'grooming salon': +0 (total: 0/330)
2026-03-08 03:16:26,243 | XHRGoogleMapsScraper | INFO     |   'men's grooming lounge': +0 (total: 0/330)
2026-03-08 03:16:27,460 | XHRGoogleMapsScraper | INFO     |   'hair salon for men': +0 (total: 0/330)
2026-03-08 03:16:28,262 | XHRGoogleMapsScraper | INFO     |   Phase A complete — 0 unique URLs
2026-03-08 03:16:28,263 | leadparser.main      | INFO     |   -> 0 raw scraped, 0 new unique leads for 'barber shops' in Edmonton; running total: 0
2026-03-08 03:16:28,263 | leadparser.main      | INFO     |   Pass 3 result: 0/100 leads pass filters
2026-03-08 03:16:28,263 | leadparser.main      | WARNING  | Exhausted 3 passes — 0/100 filtered leads available.
2026-03-08 03:16:28,408 | leadparser.main      | INFO     | Filters applied: 0 raw -> 0 passed
2026-03-08 03:16:28,670 | leadparser.main      | INFO     | Supabase insert: 0 new, 0 dupes, 0 errors
2026-03-08 03:16:29,500 | leadparser.main      | INFO     | CSV export: 57 leads -> data\leads_20260308_031629.csv
2026-03-08 03:16:29,634 | leadparser.supabase  | INFO     | Session complete | stats: {'niches': 3, 'cities': 1, 'combinations': 3, 'raw_total': 0, 'total': 0, 'new': 0, 'duplicates': 0, 'errors': 0, 'csv_path': 'data\\leads_20260308_031629.csv'}
2026-03-08 03:16:29,762 | leadparser.main      | INFO     | Total runtime: 182s
