2026-03-08 00:27:42,481 | GoogleMapsScraper    | INFO     |   [56/200] Extracting: https://www.google.com/maps/place/Eat+%26+Dip/data=!4m7!3m6!1s0x53a0256ecacc26fd…
2026-03-08 00:27:48,868 | GoogleMapsScraper    | INFO     |   [57/200] Extracting: https://www.google.com/maps/place/Padmanadi/data=!4m7!3m6!1s0x53a0224d64b96cd9:0…
2026-03-08 00:27:59,494 | GoogleMapsScraper    | INFO     |   [58/200] Extracting: https://www.google.com/maps/place/Uncle+Ed%27s+Restaurant/data=!4m7!3m6!1s0x53a0…
2026-03-08 00:28:10,533 | GoogleMapsScraper    | INFO     |   [59/200] Extracting: https://www.google.com/maps/place/Eleven+Eleven+Kitchen+%26+Bar/data=!4m7!3m6!1s…
2026-03-08 00:28:24,006 | GoogleMapsScraper    | INFO     |   [60/200] Extracting: https://www.google.com/maps/place/Double+Greeting+Won+Ton+House/data=!4m7!3m6!1s…
2026-03-08 00:28:32,225 | GoogleMapsScraper    | INFO     |   [61/200] Extracting: https://www.google.com/maps/place/LOCAL+Public+Eatery+Jasper+Ave/data=!4m7!3m6!1…
2026-03-08 00:28:40,125 | GoogleMapsScraper    | INFO     |   [62/200] Extracting: https://www.google.com/maps/place/Meat+The+Bun+Bar+%26+Bistro/data=!4m7!3m6!1s0x…
2026-03-08 00:28:52,983 | GoogleMapsScraper    | INFO     |   [63/200] Extracting: https://www.google.com/maps/place/Woodwork/data=!4m7!3m6!1s0x53a02245be4c9a55:0x…
2026-03-08 00:29:01,549 | GoogleMapsScraper    | INFO     |   [64/200] Extracting: https://www.google.com/maps/place/Cafe+Amore+Bistro/data=!4m7!3m6!1s0x53a0230dc5…
2026-03-08 00:29:11,068 | GoogleMapsScraper    | INFO     |   [65/200] Extracting: https://www.google.com/maps/place/Jerusalem+Shawarma+Downtown/data=!4m7!3m6!1s0x…
2026-03-08 00:29:21,005 | GoogleMapsScraper    | INFO     |   [66/200] Extracting: https://www.google.com/maps/place/SUGBA+by+Food-D%27Licious/data=!4m7!3m6!1s0x53…
2026-03-08 00:29:32,253 | GoogleMapsScraper    | INFO     |   [67/200] Extracting: https://www.google.com/maps/place/The+Second+Chef/data=!4m7!3m6!1s0x53a01efe82cc…
2026-03-08 00:29:43,293 | GoogleMapsScraper    | INFO     |   [68/200] Extracting: https://www.google.com/maps/place/Darling/data=!4m7!3m6!1s0x53a023f2f6b3ca23:0xa…
2026-03-08 00:29:53,505 | GoogleMapsScraper    | INFO     |   [69/200] Extracting: https://www.google.com/maps/place/Happy+and+Olive/data=!4m7!3m6!1s0x53a02141cf08…
2026-03-08 00:30:07,198 | GoogleMapsScraper    | INFO     |   [70/200] Extracting: https://www.google.com/maps/place/Evario+Kitchen+%2B+Bar/data=!4m7!3m6!1s0x53a01…
2026-03-08 00:30:25,053 | GoogleMapsScraper    | INFO     |   [71/200] Extracting: https://www.google.com/maps/place/Little+Wolf+Restaurant/data=!4m7!3m6!1s0x53a02…
2026-03-08 00:30:35,080 | GoogleMapsScraper    | INFO     |   [72/200] Extracting: https://www.google.com/maps/place/Flame+%26+Barrel+Restaurant+and+Bar/data=!4m7!…
2026-03-08 00:30:44,619 | GoogleMapsScraper    | INFO     |   [73/200] Extracting: https://www.google.com/maps/place/Sabor+Restaurant/data=!4m7!3m6!1s0x53a0224890e…
2026-03-08 00:30:53,764 | GoogleMapsScraper    | INFO     |   [74/200] Extracting: https://www.google.com/maps/place/La+Ronde+Revolving+Restaurant/data=!4m7!3m6!1s…
2026-03-08 00:31:01,594 | GoogleMapsScraper    | INFO     |   [75/200] Extracting: https://www.google.com/maps/place/Royal+Restaurant/data=!4m7!3m6!1s0x53a023265c4…
